# Перепись индексации по адресам карты сайта; обновляется ПО КРУГУ, у каждого адреса своя дата проверки. Считать по verdict (enum), НЕ по coverage: coverage — человекочитаемая строка без объявленного набора значений
# Снято ботом 2026-09-08. Правки руками будут стёрты следующим прогоном.
site,url,verdict,coverage,fetch_state,robots,last_crawl,checked
gspaytables,https://gspaytables.com/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-28,2026-09-08
gspaytables,https://gspaytables.com/locality/state-of-alaska/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-03,2026-09-08
gspaytables,https://gspaytables.com/locality/albany-schenectady-ny-ma/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/albuquerque-santa-fe-las-vegas-nm/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-02,2026-09-08
gspaytables,https://gspaytables.com/locality/atlanta-athens-clarke-county-sandy-springs-ga-al/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/austin-round-rock-georgetown-tx/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/birmingham-hoover-talladega-al/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/locality/burlington-south-burlington-barre-vt/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-30,2026-09-08
gspaytables,https://gspaytables.com/locality/boston-worcester-providence-ma-ri-nh-ct-me-vt/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-09-01,2026-09-08
gspaytables,https://gspaytables.com/locality/buffalo-cheektowaga-olean-ny/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/corpus-christi-kingsville-alice-tx/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/chicago-naperville-il-in-wi/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-31,2026-09-08
gspaytables,https://gspaytables.com/locality/cincinnati-wilmington-maysville-oh-ky-in/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/cleveland-akron-canton-oh-pa/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/columbus-marion-zanesville-oh/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-26,2026-09-08
gspaytables,https://gspaytables.com/locality/colorado-springs-co/,PASS,Submitted and indexed,SUCCESSFUL,ALLOWED,2026-08-30,2026-09-08
