# Разрез Search Console по page, окно 2026-06-19..2026-09-16. Показов в разрезе 20581 из 19742 в итоге (104%): остальное Google не отдаёт по анонимизации, и это не потеря данных, а её предел
# Снято ботом 2026-09-17. Правки руками будут стёрты следующим прогоном.
site,page,impressions,clicks,ctr,position
gspaytables,https://gspaytables.com/pay-raise/,656,59,8.99,10.0
gspaytables,https://gspaytables.com/promotion/gs-13-to-gs-14/,453,8,1.77,10.0
gspaytables,https://gspaytables.com/,190,4,2.11,19.2
gspaytables,https://gspaytables.com/calculator/,140,4,2.86,24.5
gspaytables,https://gspaytables.com/states/illinois/,40,4,10.0,13.4
gspaytables,https://gspaytables.com/gs-3/,95,3,3.16,13.6
gspaytables,https://gspaytables.com/gs-5/,424,3,0.71,11.4
gspaytables,https://gspaytables.com/promotion/gs-14-to-gs-15/,70,3,4.29,10.8
gspaytables,https://gspaytables.com/states/georgia/,294,3,1.02,14.6
gspaytables,https://gspaytables.com/states/maine/,137,3,2.19,6.5
gspaytables,https://gspaytables.com/states/michigan/,101,3,2.97,10.2
gspaytables,https://gspaytables.com/compare/,34,2,5.88,8.4
gspaytables,https://gspaytables.com/compare/new-york-ny-vs-rest-of-u-s/,51,2,3.92,26.6
gspaytables,https://gspaytables.com/compare/washington-dc-vs-rest-of-u-s/,378,2,0.53,23.0
gspaytables,https://gspaytables.com/gs-4/,226,2,0.88,11.1
gspaytables,https://gspaytables.com/locality/buffalo-cheektowaga-olean-ny/,94,2,2.13,8.8
gspaytables,https://gspaytables.com/states/idaho/,150,2,1.33,7.9
gspaytables,https://gspaytables.com/states/new-mexico/,136,2,1.47,8.8
gspaytables,https://gspaytables.com/states/oregon/,181,2,1.1,9.2
gspaytables,https://gspaytables.com/states/west-virginia/,61,2,3.28,7.7
gspaytables,https://gspaytables.com/compare/los-angeles-ca-vs-san-diego-ca/,52,1,1.92,41.4
gspaytables,https://gspaytables.com/compare/washington-dc-vs-san-diego-ca/,2,1,50.0,24.5
gspaytables,https://gspaytables.com/grades/,608,1,0.16,26.3
gspaytables,https://gspaytables.com/gs-12/,327,1,0.31,14.1
gspaytables,https://gspaytables.com/gs-13/,306,1,0.33,12.2
gspaytables,https://gspaytables.com/gs-14/,535,1,0.19,13.5
gspaytables,https://gspaytables.com/gs-6/,276,1,0.36,11.9
gspaytables,https://gspaytables.com/gs-7/,221,1,0.45,12.0
gspaytables,https://gspaytables.com/gs-9/,184,1,0.54,12.1
gspaytables,https://gspaytables.com/locality/albuquerque-santa-fe-las-vegas-nm/,33,1,3.03,12.0
