# Разрез Search Console по query, окно 2026-06-21..2026-09-18. Показов в разрезе 3803 из 19866 в итоге (19%). Разрыв — анонимизация Google: редкие запросы он не отдаёт вовсе. До 18.09.2026 здесь стояло, что это «не потеря данных, а её предел», и это было неправдой: разрез обрезал НАШ собственный лимит в 250 строк, а внутри нулевого блока строки идут по алфавиту — терялся весь словарь сайта после первых букв. Лимит снят; если доля всё ещё мала, теперь это действительно предел источника
# Снято ботом 2026-09-19. Правки руками будут стёрты следующим прогоном.
site,query,impressions,clicks,ctr,position
gspaytables,federal pay raise 2027,50,8,16.0,9.2
gspaytables,2027 federal pay raise,33,5,15.15,14.9
gspaytables,federal employee pay raise 2027,23,5,21.74,3.7
gspaytables,gs pay raise 2027,8,3,37.5,3.4
gspaytables,alternative pay plan letter 2027,28,2,7.14,7.1
gspaytables,gs pay increase 2027,3,2,66.67,1.7
gspaytables,2026 gs pay scale,1,1,100.0,25.0
gspaytables,2027 civilian federal pay raise,2,1,50.0,4.0
gspaytables,2027 federal civilian pay raise,5,1,20.0,2.6
gspaytables,2027 federal pay increase,1,1,100.0,4.0
gspaytables,2027 gs pay raise,3,1,33.33,2.0
gspaytables,alternative pay plan 2027,3,1,33.33,6.3
gspaytables,civilian pay raise 2027,2,1,50.0,2.0
gspaytables,federal civilian pay raise 2027,3,1,33.33,4.0
gspaytables,federal employees salary increase 2027,1,1,100.0,1.0
gspaytables,federal pay 2027,3,1,33.33,3.0
gspaytables,federal pay raise,5,1,20.0,21.2
gspaytables,federal raise 2027,3,1,33.33,3.7
gspaytables,federal worker pay raise 2027,4,1,25.0,2.8
gspaytables,yes,3,1,33.33,4.3
gspaytables,"atlanta" "locality",2,0,0.0,27.5
gspaytables,12 pay,1,0,0.0,38.0
gspaytables,2023 federal pay raise,1,0,0.0,46.0
gspaytables,2024 gs pay scale,1,0,0.0,27.0
gspaytables,2024 pay raise,4,0,0.0,31.2
gspaytables,2025 gs pay scale,5,0,0.0,35.2
gspaytables,2025 gs pay scale dc,3,0,0.0,60.3
gspaytables,2025 gs payscale,1,0,0.0,27.0
gspaytables,2025 pay scale,1,0,0.0,32.0
